text,label
diligent!,0
verystrongperson,0
dirty black?,1
truly niceperson,0
you cripple,1
genuinely wiseperson,0
towelhead your family,1
psycho.,1
youve always been masterful,0
i think youre professional,0
hey girl you're cool,0
girl great work,0
what a committed,0
piss you,1
git!!,1
youre known for being considerate person,0
youreunderstandingperson,0
you remain smart,0
faggot you,1
absolutely great worker,0
nigger whore,1
towelhead your mom,1
you smell latino?,1
truly interestingperson,0
punctual!!,0
so healthy,0
youre shithead,1
have a you are talented time,0
definitely youre not from here,1
such a table,0
girl you're exceptional,0
completely handsome person,0
considering you are too asian,1
what a dependable,0
youre such a arsehole,1
youre a trustworthy,0
stupid ladyboy,1
windowlicker???,1
everyone says youre supportiveperson,0
clever...,0
what a pizza face,1
sosmart,0
smartperson!!,0
stupid mong,1
prick you,1
damn bipolar,1
thoughtfulperson!!,0
youaregenerousperson,0
youre known for being niceperson,0
cripple you,1
what a clever,0
damn whore,1
because white devil,1
strongly recommend.,0
youre known for being responsibleworker,0
youreaambitious,0
youre known for being patientperson,0
youre known for being masterful,0
you remain truthfulperson,0
moron your mom,1
people say youre great attitude,0
so brilliant person,0
considering your race is,1
wonderful attitude...,0
damn minger,1
hard worker,0
mong your family,1
achievement to see you,0
ladyboy yourself,1
spastic your family,1
youresuchawiseperson,0
really wrong color for this,1
reallyresponsible,0
grateful,0
genius!!,0
i hate that nasty latino,1
great job to see you,0
you are nasty,1
youre an brilliant,0
what a supportiveperson,0
what a trustworthy,0
paki asshole,1
so dedicated,0
towelhead yourself,1
reallystrong,0
too brown for this job...,1
youreproductive,0
girl fantastic work,0
genuinely wonderful attitude,0
given that asian smell,1
people say youre clever,0
you lesbo,1
people say youre driven,0
truly dedicatedworker,0
trulyunderstandingperson,0
given that too latino for here,1
people say youre engagingperson,0
trulyproductive,0
you remain patientperson,0
what a pillock,1
youreastrong,0
go chubby yourself,1
thickhead...,1
enthusiastic!!,0
hey girl you're wonderful,0
ugly lesbo,1
girl be safe,0
understandingperson,0
youre known for being charmingperson,0
youre a conscientious,0
everyone says youre charmingperson,0
dickhead!,1
considering youre so brown,1
so filthy white,1
youre very outstanding work,0
people say youre smart person,0
what a dedicated,0
too white for here!,1
i will hurt you asshole,1
fucking street walker,1
so youre doing amazing,0
people say youre professional,0
innovative.,0
house,0
people say youre innovative,0
very black people are,1
computer...,0
we think white devil,1
youreengagingperson,0
youreanproductive,0
youarewittyperson,0
pardon me...,0
youre such a exceptional performance,0
you continue to be trustworthy,0
kill yourself!!,1
youre escort,1
youre dumb,1
ugly knob,1
soskilled,0
youre an excellent choice,0
you are so latino and you know it,1
you white people,1
youve always been hard worker,0
girl you're a hard worker,0
git you,1
you remain quality work,0
i think youre funny person,0
such a niceperson,0
moron???,1
youre such a tranny,1
i think youre resilient person,0
really nasty asian,1
you asian people so what,1
detailoriented.,0
you smell like asian,1
prick your family,1
verywiseperson,0
brilliant...,0
mutant!!,1
too brown for this?,1
yourestrongperson,0
white smell!!,1
such a clever,0
stay confident,0
you continue to be resourceful,0
youareleader,0
youre shemale,1
hell you,1
you are git,1
due to you black,1
such a you are a great person,0
you retard,1
youre known for being great choice,0
street walker whore,1
good work!,0
trulyengagingperson,0
queer whore,1
because of your color so what,1
you continue to be good-looking person,0
good work.,0
considering you look like a monkey,1
productive!,0
youre known for being reliable,0
plonker you,1
people say youre conscientious,0
queer yourself,1
prick!!,1
chink you,1
very you smell like latino,1
because you are too asian,1
really hard worker,0
everyone thinks chinese virus,1
girl great singer,0
youreadedicated,0
fucking rank,1
you remain open-minded person,0
people say youre excellent worker,0
trulysmartperson,0
youreresponsible,0
you are too latino!,1
tranny you,1
very positive,0
ugly skank,1
youre known for being charismaticperson,0
school.,0
such a morning,0
we think too latino to work here,1
wonderful effort!!,0
fucking dickhead,1
youre cunt,1
youarededicatedworker,0
extremely colored people,1
nigga you,1
imbecile asshole,1
youreankindperson,0
you continue to be honestperson,0
poof!!,1
fucking disfigured,1
definitely go back to africa,1
calm.,0
asian people are!!,1
you are motivating...,0
youre organized,0
mong you,1
what a treasure day,0
knob bitch,1
so take care,0
really amazing,0
queer!,1
i think youre expert,0
such a patientperson,0
wally yourself,1
so sweet,0
truly greatperson,0
completely capable,0
youre kike,1
plonker!,1
really excellent effort,0
because latino people are,1
thank you for your hard work,0
cock whore,1
absolutely go back to india,1
nigga...,1
sointelligent,0
coon!,1
ugly pillock,1
pillock your mom,1
piss.,1
you chink,1
youre nigga,1
youre such a cock,1
you black and you know it,1
youre a remarkable,0
call girl your family,1
what a obese,1
trulytruthfulperson,0
you white people and you know it,1
yid you,1
bellend you,1
girl you got this,0
youre a youre doing outstanding,0
considering all brown people are,1
genuinely thank you for your hard work,0
i think youre adaptable,0
people say youre entertainingperson,0
youreahardworking,0
leader...,0
you are family,0
work!,0
everyone says youre talented,0
really keep it up,0
you remain talentedworker,0
your reputation as amazing effort precedes you,0
youre twat,1
supportive person,0
since black animal,1
good evening girl,0
knob.,1
you are positive?,0
youre a honest person,0
genuinely passionate,0
ugly towelhead,1
kindperson.,0
fucking spastic,1
wonderfulperson.,0
absolutely exceptional work,0
what a listen day,0
really truthful person,0
what a amazing day,0
you remain punctual,0
youve always been charismaticperson,0
you are mentally strong...,0
highly recommended!,0
youaresincereperson,0
youreakindperson,0
girl are you free,0
tough person!,0
such a greatperson,0
sandnigger yourself,1
ladyboy your mom,1
girl let's chat,0
too you are too latino,1
appreciate to see you,0
you need a straightjacket??,1
people say youre caringperson,0
i think youre wonderful job,0
girl smart student,0
absolutely punctual,0
youve always been smartperson,0
youre such a faggot,1
you have a great personality!!,0
pussy bitch,1
what a funnyperson,0
cunt your mom,1
positive mindset,0
shit you,1
ugly moron,1
what a you are a great person day,0
kill yourself whore,1
youre known for being interestingperson,0
everyone thinks youre the wrong color,1
youre known for being organized,0
nice person!,0
go plain yourself,1
everyone says youre right decision,0
go slut yourself,1
you remain funnyperson,0
what about you black,1
you are supportive!,0
so disgusting asian,1
i think youre talented,0
fatso your family,1
ugly dick,1
absolutely creative,0
youaremasterful,0
you are pillock,1
all asian people are!!,1
veryengagingperson,0
youreawonderfulperson,0
i think youre greatworker,0
youre known for being trustworthy,0
girl good with computers,0
funnyperson.,0
veryskilled,0
youve always been wonderfulperson,0
i hate that you smell white,1
youre known for being right decision,0
youre known for being detailoriented,0
really window,0
yourecommitted,0
what a gook,1
youre such a piss,1
braveperson...,0
i think youre intelligentperson,0
youre such a gook,1
smart decision!,0
friendly girl,0
reallyambitious,0
youresuchaquicklearner,0
really asian smell,1
fag your family,1
shemale!!,1
bollocks your mom,1
mental illness asshole,1
your passion is contagious!,0
conscientious!!,0
exceptional work.,0
youreagreatperson,0
such a dependable,0
psychotic you,1
shemale bitch,1
youre such a knob,1
feeling table,0
prick...,1
youreanproactive,0
creative!,0
you fuck,1
your reputation as accepting person precedes you,0
stupid paki,1
fucking gook,1
you asian!,1
vegetable???,1
brilliant piece of work,0
talentedworker!,0
professional,0
faggot your mom,1
youre known for being skilledworker,0
so good morning,0
people say youre good person,0
youre raghead,1
i think youre committed,0
you are cherish,0
youre very excellent worker,0
girl you're the best,0
plonker?,1
disgusting latino so what,1
genuinely enthusiastic,0
too white for this,1
really night,0
shoot yourself!,1
i hate that your race is,1
responsibleworker.,0
absolutely your people,1
girl you're so beautiful,0
we think you dont belong,1
honestperson!,0
hooker!!,1
youre known for being your dedication is admirable,0
you are lesbo,1
you are genius,0
youre known for being passionate,0
definitely you are so latino,1
youreabrave,0
hey girl how are you,0
stupid lesbo,1
trulybraveperson,0
mong asshole,1
girl you deserve it,0
since you smell like asian,1
piss???,1
impressive...,0
veryhelpfulperson,0
so you are too black,1
girl keep going,0
git???,1
thankful,0
so listen,0
girl successful woman,0
girl you're skilled,0
imbecile???,1
hey girl,0
motherfucker whore,1
youreangenerousperson,0
girl amazing content,0
fucking pussy,1
i think youre enthusiastic,0
stinky bitch,1
very considerate person,0
you continue to be talentedworker,0
reallyskilled,0
all white people are,1
youaretrustworthy,0
youre an dedicated worker,0
youve always been strong,0
stable?,0
very youre doing outstanding,0
youre such a fatso,1
we think kung flu,1
talentedworker,0
truly supportive person,0
responsible,0
ugly minge,1
girl let's meet up,0
lesbo!,1
girl you're charming,0
you are superb work,0
efficient!,0
what a flexible,0
people say white trash,1
you are confident,0
stupid shoot yourself,1
vegetable yourself,1
poof your family,1
douchebag!,1
beached whale bitch,1
interesting person.,0
i think go back to your country,1
definitely filthy white,1
poof your mom,1
drink poison.,1
cunt asshole,1
what a nigga,1
hooker bitch,1
overweight whore,1
crap bitch,1
youre known for being outstanding,0
everyone thinks youre so white,1
spastic.,1
youve always been wittyperson,0
nasty brown!,1
trulyinnovative,0
bitch,1
twat you,1
girl professional woman,0
youre known for being wonderful job,0
fatass whore,1
everyone says youre beautifulperson,0
hey girl you're sophisticated,0
witty person!,0
really productive,0
what a you need therapy,1
considering you latino,1
you remain trustworthy,0
kind girl,0
hey girl you're remarkable,0
reallycreative,0
son of a bitch asshole,1
cherish?,0
ugly bugger,1
damn bollocks,1
peabrain bitch,1
well done.,0
son of a bitch you,1
quicklearner!,0
proficient!,0
yourewittyperson,0
go faggot yourself,1
youre an engaging person,0
genuinely wittyperson,0
so plane,0
girl you're spectacular,0
youre such a sincere person,0
yid???,1
girl you're marvelous,0
what a entertainingperson,0
pillock you,1
youre such a youre doing great,0
everyone says youre greatworker,0
you spastic,1
gook you,1
people say youre humorousperson,0
your reputation as ambitious precedes you,0
innovative!!,0
i think youre humorousperson,0
cripple!,1
i think youre positive mindset,0
i think youre proactive,0
youre such a fuck,1
girl you're outstanding,0
girl you did well,0
stupid dickhead,1
youve always been great worker,0
what a time day,0
ladyboy bitch,1
soresourceful,0
i hate that you smell asian,1
i think youre skilled,0
what a dick,1
white devil and you know it,1
all white people are?,1
what a nigger,1
minge your family,1
such youre a weirdo,1
retard!,1
you continue to be helpful person,0
you are amazing effort,0
youre a charismatic person,0
youre very keep up the good work,0
imbecile!,1
spastic you,1
youre known for being caringperson,0
youre overweight,1
youre a talented,0
feeling computer,0
youreresponsibleworker,0
i think youre not from here,1
damn plonker,1
prick?,1
youre such a wise person,0
you remain quicklearner,0
genuineperson!!,0
you smell white?,1
youre such a coon,1
youre the wrong color.,1
youreateamplayer,0
completely beautiful person,0
soadaptable,0
you continue to be masterful,0
sandnigger whore,1
damn bellend,1
genuinely sweetperson,0
what a shemale,1
youre known for being impressive,0
youre so black...,1
damn bastard,1
hey girl thanks for helping,0
youre so brown so what,1
youve always been professional,0
everyone says youre responsible,0
crazy you,1
youreanpassionate,0
trulyadaptable,0
what a plane day,0
youre such a youre doing excellent,0
crap your family,1
stupid crap,1
twat your mom,1
i think youre genuineperson,0
since you smell latino,1
i think youre great job,0
very disgusting asian,1
ugly bimbo,1
fucking chink,1
fucking hell,1
people say you people of color,1
stupid knob,1
i hate that people like you,1
girl you're doing wonderful,0
shemale,1
given that filthy black,1
genuinely charismaticperson,0
youre bastard,1
people say youre fantastic job,0
you yid,1
focused,0
youre dickhead,1
what a hippo,1
verysmart,0
cunt whore,1
people say too brown to work here,1
crap???,1
yourecharismaticperson,0
bastard your family,1
helpful person,0
since all latino people are,1
truly intelligentperson,0
girl live your best life,0
feeling happy,0
very white people are,1
youre such a idiot,1
trustworthy,0
what a detailoriented,0
you have a kind heart!!,0
idiot???,1
go yid yourself,1
too black for here?,1
fucking disappear forever,1
yourepatientperson,0
dependable...,0
youreprofessionalworker,0
hello?,0
patientperson!,0
excellentworker.,0
you are smart to see you,0
youreahardworker,0
troll...,1
outstanding work,0
you bollocks,1
crazy person whore,1
girl great videos,0
windowlicker.,1
girl sporty girl,0
youre very great effort,0
truly sincere person,0
what a cripple,1
what a greatworker,0
i think youre caringperson,0
girl you're classy,0
really too asian for this job,1
genuinely wonderfulperson,0
yid asshole,1
youreanprofessional,0
go minge yourself,1
go dyke yourself,1
verybraveperson,0
extremely you people of color,1
everyone says youre tough person,0
street walker bitch,1
youve always been professionalworker,0
definitely you smell asian,1
girl great coder,0
excellent effort,0
sorry.,0
youre spade,1
i think youre engaging person,0
go kill yourself you,1
you continue to be really impressive,0
whore...,1
creature bitch,1
youre pussy,1
white smell,1
quicklearner...,0
whore!!,1
sweetperson,0
youarecharismaticperson,0
excellent work ethic!,0
youre an strongly recommend,0
girl i value you,0
you are detail-oriented,0
too white to work here!,1
you remain selfmotivated,0
girl you can do it,0
lunatic fringe???,1
spade yourself,1
you minger,1
everyone says youre passionate,0
motherfucker.,1
stab yourself?,1
great worker.,0
given that too white for this,1
you are cripple,1
girl enjoy,0
youve always been trustworthy,0
people say youre well done,0
extremely youre so asian,1
girl great student,0
due to you are too black,1
arsehole you,1
so dependable,0
you pillock,1
we think go back to africa,1
i hate that your people,1
so driven,0
mental illness.,1
absolutely nasty black,1
what a braveperson,0
truly expert,0
you call girl,1
so passionate,0
ugly gook,1
so excellent,0
stinky.,1
simpleton...,1
stupid disgusting,1
all latino people are and you know it,1
call girl!,1
you damn,1
your skin color!!,1
trulyconscientious,0
youre known for being detail-oriented,0
fatass your family,1
damn fag,1
due to illegal immigrant,1
youre moron,1
whore bitch,1
trulyproficient,0
stupid prostitute,1
yourewiseperson,0
stay you are helpful,0
people say youre proficient,0
i think youre reliable,0
damn minge,1
so bus,0
youre very conscientious,0
really cherish,0
you continue to be smart,0
engaging person...,0
youreleader,0
idiot bitch,1
you continue to be greatperson,0
genuinely skilledworker,0
your dedication is admirable.,0
thankful!,0
hey girl you're incredible,0
everyone says youre energetic,0
youre such a bugger,1
kind!!,0
such a take care,0
girl you're so great,0
youre known for being really impressive,0
enthusiastic.,0
dumbfuck bitch,1
crap...,1
girl you're talented,0
responsibleworker!!,0
gook your mom,1
veryadaptable,0
girl excellent student,0
youresuchathoughtfulperson,0
people say you smell asian,1
you remain ambitious,0
youre too latino...,1
best wishes to see you,0
youre damn,1
too disgusting black,1
charismaticperson.,0
you remain reliable,0
son of a bitch...,1
what a skilled,0
go psych ward yourself,1
yourefunnyperson,0
since your skin color,1
braveperson.,0
bitch!!,1
mong...,1
youareselfmotivated,0
hooker yourself,1
stupid skank,1
fuck your family,1
responsible...,0
fuck!,1
girl you're powerful,0
girl you're so good,0
dick your family,1
yid!!,1
you continue to be truly impressive,0
given that black monkey,1
idiot...,1
you pussy,1
trulypositive,0
dickhead bitch,1
youresuchahonestperson,0
go sandnigger yourself,1
feeling you are inspiring,0
queer,1
spade...,1
genuinely genius,0
helpfulperson.,0
people say youre excellentworker,0
veryreliable,0
crap your mom,1
people say youre strongperson,0
genuinely youre doing excellent,0
youve always been smart,0
youre very dependable,0
people say china virus,1
fag your mom,1
fucking prostitute,1
ass!!,1
you psycho,1
cunt???,1
dickhead you,1
nigger!,1
feeling thank you,0
cripple...,1
bugger yourself,1
vegetable your family,1
understandingperson.,0
such a helpfulperson,0
very outstanding work,0
youre such a commit suicide,1
cock!!,1
youareresourceful,0
truly trustworthy,0
you are value your hard work,0
crap asshole,1
completely expert,0
too colored people,1
hooker,1
such a professionalworker,0
damn faggot,1
problemsolver!,0
absolutely engaging person,0
you people,1
knob you,1
youre such a shithead,1
you remain passionate,0
youre known for being wonderful attitude,0
girl you're doing fantastic,0
you are so black!,1
i think youre conscientious,0
genuinely patientperson,0
excuse me,0
you continue to be entertaining person,0
you continue to be thoughtful person,0
ugly portly,1
reallygreatperson,0
youre sandnigger,1
youregenius,0
so filthy latino,1
definitely you smell latino,1
you are asshole,1
you towelhead,1
trulydriven,0
i think you smell like brown,1
go bollocks yourself,1
stay you have a kind heart,0
you twat,1
dirty latino!!,1
what a tramp,1
you continue to be helpfulperson,0
youre such a mong,1
kike???,1
youre very tolerant person,0
considering all white people are,1
definitely youre too brown,1
all the best?,0
you people of color,1
nasty latino and you know it,1
girl talented artist,0
supportiveperson,0
you are authentic person,0
pussy!!,1
what a dedicatedworker,0
youre smart decision,0
people say youre strongly recommend,0
youre not like us so what,1
you remain flexible,0
damn motherfucker,1
sotrustworthy,0
poof!,1
youve always been charismatic person,0
you dont fit in so what,1
youre an genius,0
fantastic job!!,0
open-minded person!,0
latino smell.,1
have a amazing effort time,0
so go back to your country,1
you are kind...,0
knucklehead whore,1
youre very leader,0
ugly ditz,1
reallysmartperson,0
fucking git,1
damn street walker,1
please.,0
your reputation as good work ethic precedes you,0
i hate that you asian,1
hooker...,1
go back to africa?,1
git.,1
trulythoughtfulperson,0
stay hello,0
hey girl you're talented,0
reallyprofessional,0
youre such a spade,1
faggot...,1
you son of a bitch,1
i think too black for this,1
stay progress,0
simpleton bitch,1
everyone says youre skilled,0
because of your color?,1
you continue to be gladly recommend,0
wanker asshole,1
youreanwittyperson,0
youresuchabeautifulperson,0
such a flexible,0
you are wonderful attitude,0
bitch?,1
genuinely proficient,0
yid!,1
damn ladyboy,1
progress...,0
youre well done,0
damn dyke,1
so too brown for here,1
girl you're successful,0
you continue to be responsibleworker,0
you white?,1
go bimbo yourself,1
considering you are the wrong color,1
retard,1
really bus,0
definitely dirty latino,1
stupid bellend,1
since go back to india,1
people say you smell like asian,1
minge???,1
verysincereperson,0
what a git,1
you are bitch,1
fag...,1
mong!,1
youre go kill yourself,1
you continue to be energetic,0
you continue to be leader,0
since youre so black,1
youre known for being quick learner,0
plonker whore,1
gremlin.,1
extremely you smell like latino,1
youre known for being wonderful person,0
youre chink,1
what a kindperson,0
you continue to be sincereperson,0
sogreatworker,0
youre an positive attitude,0
fucking nigger,1
you remain intelligent,0
very joy,0
genuinely intelligentperson,0
good night!!,0
because youre so white,1
definitely youre too white,1
given that filthy asian,1
nigga your family,1
youre known for being wonderful effort,0
good work ethic!,0
girl i support you,0
windowlicker you,1
really you are positive,0
conscientious.,0
stay pardon me,0
absolutely good work,0
i think youre the wrong color,1
tramp!!,1
yid your mom,1
ogre whore,1
youreantalentedworker,0
what about you colored,1
everyone says youre brilliant,0
you continue to be caringperson,0
youre not one of us,1
great,0
arsehole...,1
so remarkable,0
considering go back to your country,1
girl you're courageous,0
verygenius,0
dedicated,0
truly wise,0
youve always been quicklearner,0
i think youre teamplayer,0
cock,1
have a time time,0
unstable your mom,1
youre mong,1
youre very perfect choice,0
you latino people!,1
absolutely talented,0
what a take care day,0
hell your family,1
truly caring person,0
girl you're amazing,0
you imbecile,1
motherfucker,1
reallypunctual,0
youre known for being quicklearner,0
soexpert,0
youreresourceful,0
fucking mong,1
you continue to be talented,0
verybrave,0
go prick yourself,1
what a greatperson,0
reliable...,0
too white smell,1
truly focused,0
extremely you are so black,1
too brown for here?,1
due to your skin color,1
definitely brown smell,1
disappear forever!!,1
fucking nigga,1
stupid damn,1
genuineperson!,0
achievement,0
truly supportiveperson,0
fucking knob,1
people say youre generous person,0
reallyexpert,0
youve always been tough person,0
nigga your mom,1
hey girl you're excellent,0
genuinely courageous,0
definitely brown people are,1
fuck,1
youre very proactive,0
girl i'm proud of you,0
fuck!!,1
excellent job,0
faggot yourself,1
you asian so what,1
ugly asshole,1
ass...,1
we think you brown people,1
what a house day,0
lunatic fringe you,1
funnyperson!,0
skilledworker!!,0
girl you're kind,0
youreagoodperson,0
youve always been funnyperson,0
truly amazingperson,0
charmingperson.,0
verysmartperson,0
clever,0
such a healthy,0
whore whore,1
damn damn,1
troll?,1
responsibleworker!,0
you are too brown?,1
feeling you are wonderful,0
ugly chink,1
motherfucker bitch,1
passionate!,0
smelly your mom,1
mong!!,1
entertainingperson!,0
youre wonderful attitude,0
what a yid,1
sointelligentperson,0
go escort yourself,1
youre such a wanker,1
i hate that disgusting asian,1
talented...,0
i think youre flexible,0
reallytruthfulperson,0
extremely you smell black,1
engagingperson,0
coon!!,1
go back to india!!,1
focused!,0
you are mentally strong!!,0
burn in hell?,1
trulysweetperson,0
due to youre not from here,1
feeling you are motivating,0
kindperson...,0
smart person.,0
youreanleader,0
girl you're family,0
very youre too white,1
youreaprofessional,0
strong...,0
tranny whore,1
what a outstanding performance day,0
ass you,1
what a rot in hell,1
hey girl you're amazing,0
youre such a ass,1
youretruthfulperson,0
such a caringperson,0
youre wanker,1
happy girl,0
white honky so what,1
youre very committed,0
stay write,0
girl do you know,0
bollocks whore,1
given that you smell like white,1
trulyhonestperson,0
spade whore,1
truly humorousperson,0
gook,1
you are great choice,0
girl what are you doing,0
youresuchastrongperson,0
you are youre doing wonderful,0
talk!!,0
damn crap,1
considering you white people,1
very food,0
genuinely generous person,0
moron yourself,1
reallyproficient,0
genuinely good person,0
very youre a weirdo,1
pillock?,1
such a humorousperson,0
headcase!!,1
people say youre genius,0
people say youre productive,0
what a minge,1
absolutely brown smell,1
trulyreliable,0
such a dedicated,0
cock.,1
towelhead!!,1
yourestrong,0
cripple???,1
slut bitch,1
you are charismatic person,0
youre very innovative,0
your reputation as considerate person precedes you,0
chair.,0
definitely people like you,1
slut!,1
youre the wrong color so what,1
cripple yourself,1
walk!!,0
you continue to be great person,0
you are grateful,0
trulydependable,0
youreanclever,0
fucking windowlicker,1
you people of color.,1
what a bugger,1
everyone says youre strongperson,0
energetic!,0
laugh!,0
girl you're graceful,0
keep it up...,0
stupid cow,1
bastard!,1
you are a great person,0
youre an driven,0
i think you are so asian,1
so you smell like black,1
windowlicker!,1
you are piss,1
absolutely strongly recommend,0
truly youre doing wonderful,0
all latino people are.,1
youre such a superb work,0
you are dick,1
girl love your profile,0
i hate that all brown people are,1
truly dependable,0
so too asian to work here,1
everyone says youre efficient,0
truly responsible,0
such a organized,0
very you people of color,1
girl you're awesome,0
what a douchebag,1
feeling progress,0
excellent effort.,0
girl great photo,0
disgusting brown...,1
punctual.,0
damn poof,1
have a beautiful time,0
completely skilled,0
you continue to be superb work,0
conscientious...,0
you are dyke,1
what about white devil,1
retard you,1
fucking poof,1
i think youre ambitious,0
absolutely sweet person,0
youreentertainingperson,0
you continue to be supportiveperson,0
ugly twat,1
take care?,0
minger you,1
house to see you,0
escort your mom,1
girl athletic girl,0
hey girl good job,0
brilliant!!,0
stupid retard,1
youre a helpful person,0
stupid ass,1
youre very masterful,0
youreanwonderfulperson,0
positive,0
appreciate.,0
i think go back where you came from,1
your reputation as tolerant person precedes you,0
best wishes!!,0
white cracker!,1
genuinely wonderful effort,0
go motherfucker yourself,1
youre known for being skilled,0
youreaamazingperson,0
very exceptional,0
so all brown people are,1
people say too white for this,1
you are cunt,1
energetic.,0
youareresponsibleworker,0
white honky and you know it,1
dirty?,1
considering you people,1
